Hillary,Trump,total,county_name,state_abbreviation
5908,18110,24661,Autauga County,AL
18409,72780,94090,Baldwin County,AL
4848,5431,10390,Barbour County,AL
1874,6733,8748,Bibb County,AL
2150,22808,25384,Blount County,AL
3530,1139,4701,Bullock County,AL
3716,4891,8685,Butler County,AL
13197,32803,47376,Calhoun County,AL
5763,7803,13778,Chambers County,AL
1524,8809,10503,Cherokee County,AL
2909,15068,18255,Chilton County,AL
3109,4102,7268,Choctaw County,AL
5712,7109,12936,Clarke County,AL
1234,5230,6572,Clay County,AL
684,5738,6532,Cleburne County,AL
4194,15825,20513,Coffee County,AL
7296,16718,24626,Colbert County,AL
3069,3413,6543,Conecuh County,AL
1780,3376,5223,Coosa County,AL
2379,13222,15818,Covington County,AL
1663,4511,6252,Crenshaw County,AL
3730,32734,37278,Cullman County,AL
4408,13798,18617,Dale County,AL
12826,5784,18730,Dallas County,AL
3682,21779,26086,DeKalb County,AL
8436,27619,36905,Elmore County,AL
4698,10282,15213,Escambia County,AL
10350,32132,43474,Etowah County,AL
1358,6705,8196,Fayette County,AL
2197,9466,11955,Franklin County,AL
1522,9967,11659,Geneva County,AL
4006,838,4862,Greene County,AL
4772,3172,8010,Hale County,AL
2286,5623,8017,Henry County,AL
10547,30567,42030,Houston County,AL
3663,16643,20785,Jackson County,AL
151581,130614,290111,Jefferson County,AL
1035,5819,6931,Lamar County,AL
9877,27735,38813,Lauderdale County,AL
3611,10732,14623,Lawrence County,AL
20987,34321,57668,Lee County,AL
9340,28824,39400,Limestone County,AL
4882,1751,6676,Lowndes County,AL
7237,1394,8748,Macon County,AL
62435,89199,159473,Madison County,AL
5607,5224,10948,Marengo County,AL
1432,11273,12912,Marion County,AL
4913,29217,34965,Marshall County,AL
68429,91087,163387,Mobile County,AL
4310,5771,10185,Monroe County,AL
58669,33928,94572,Montgomery County,AL
11216,37392,49991,Morgan County,AL
3823,1403,5255,Perry County,AL
3972,5454,9494,Pickens County,AL
5039,7681,13025,Pike County,AL
2290,7697,10130,Randolph County,AL
9577,9210,19136,Russell County,AL
22927,72846,99208,Shelby County,AL
5550,31579,37937,St. Clair County,AL
4739,1581,6391,Sumter County,AL
12108,20596,33218,Talladega County,AL
5271,12967,18504,Tallapoosa County,AL
31746,47701,81708,Tuscaloosa County,AL
4486,24208,29243,Walker County,AL
2366,6031,8492,Washington County,AL
4329,1737,6095,Wilcox County,AL
871,9225,10255,Winston County,AL
1939,3825,6167,Arkansas County,AR
2408,5338,8027,Ashley County,AR
4163,14655,19572,Baxter County,AR
27894,60751,94262,Benton County,AR
2925,12225,15912,Boone County,AR
1317,2163,3617,Bradley County,AR
636,1554,2250,Calhoun County,AR
3334,6773,10656,Carroll County,AR
2350,1716,4149,Chicot County,AR
3606,4398,8365,Clark County,AR
1999,3779,5978,Clay County,AR
2101,9454,11968,Cleburne County,AR
723,2460,3299,Cleveland County,AR
3140,5456,8837,Columbia County,AR
2655,4844,7837,Conway County,AR
10474,22798,34968,Craighead County,AR
4476,16655,22155,Crawford County,AR
8368,6953,15798,Crittenden County,AR
1995,4577,6831,Cross County,AR
1165,1507,2741,Dallas County,AR
2227,1915,4226,Desha County,AR
2364,3967,6552,Drew County,AR
14525,29170,46364,Faulkner County,AR
1376,5034,6698,Franklin County,AR
1067,3470,4744,Fulton County,AR
12283,26053,40337,Garland County,AR
1407,5160,6855,Grant County,AR
3056,10698,14422,Greene County,AR
2371,4391,6984,Hempstead County,AR
3137,8153,11815,Hot Spring County,AR
1350,3155,4634,Howard County,AR
2878,9925,13443,Independence County,AR
1111,4042,5396,Izard County,AR
1583,3262,5093,Jackson County,AR
15721,9231,25683,Jefferson County,AR
2421,6072,8997,Johnson County,AR
1028,1750,2835,Lafayette County,AR
1263,4064,5629,Lawrence County,AR
1735,1229,3004,Lee County,AR
1252,2455,3814,Lincoln County,AR
1397,3604,5192,Little River County,AR
